index,S:all,A:all,I:all,betaA:all,betaI:all,kA:all,kI:all,sto:all,rep:all,phi:all,log_like
174,0.66636,1.02205e-05,1.02683e-05,1.40482,0.0150482,4.94538,80.9224,0.1,1,0.1,-16514.665567
175,0.666446,1.03101e-05,1.00006e-05,1.39928,0.0147353,4.96338,81.0212,0.1,1,0.1,-16497.123878
176,0.666446,1.03101e-05,1.00006e-05,1.39928,0.0147353,4.96338,81.0212,0.1,1,0.1,-16497.123878
177,0.666446,1.03101e-05,1.00006e-05,1.39928,0.0147353,4.96338,81.0212,0.1,1,0.1,-16497.123878
178,0.671261,1.02213e-05,1.01806e-05,1.40227,0.0142841,4.95406,80.7005,0.1,1,0.1,-16403.013505
179,0.680183,1.03218e-05,1.01611e-05,1.38931,0.0145072,4.9543,80.5621,0.1,1,0.1,-16372.572386
180,0.680359,1.02202e-05,1.01976e-05,1.40963,0.0144551,4.98746,80.512,0.1,1,0.1,-16325.929223
181,0.680359,1.02202e-05,1.01976e-05,1.40963,0.0144551,4.98746,80.512,0.1,1,0.1,-16325.929223
182,0.680359,1.02202e-05,1.01976e-05,1.40963,0.0144551,4.98746,80.512,0.1,1,0.1,-16325.929223
183,0.682966,1.05112e-05,1.00631e-05,1.41931,0.0138601,4.96339,80.7092,0.1,1,0.1,-16253.988711
184,0.682966,1.05112e-05,1.00631e-05,1.41931,0.0138601,4.96339,80.7092,0.1,1,0.1,-16253.988711
185,0.682966,1.05112e-05,1.00631e-05,1.41931,0.0138601,4.96339,80.7092,0.1,1,0.1,-16253.988711
186,0.682966,1.05112e-05,1.00631e-05,1.41931,0.0138601,4.96339,80.7092,0.1,1,0.1,-16253.988711
187,0.674628,1.06823e-05,1.00318e-05,1.44852,0.0136911,4.98974,80.8658,0.1,1,0.1,-16252.811778
188,0.681359,1.05638e-05,1.01258e-05,1.46086,0.0133104,5.00735,81.0821,0.1,1,0.1,-16174.593905
189,0.68627,1.06751e-05,9.93843e-06,1.49216,0.0135628,5.02007,81.0961,0.1,1,0.1,-16088.958028
190,0.693564,1.05118e-05,9.80182e-06,1.48201,0.0130244,5.00149,81.025,0.1,1,0.1,-16021.315274
191,0.693564,1.05118e-05,9.80182e-06,1.48201,0.0130244,5.00149,81.025,0.1,1,0.1,-16021.315274
192,0.694445,1.03819e-05,9.42308e-06,1.51681,0.012523,5.02583,80.7745,0.1,1,0.1,-15906.575939
193,0.70104,1.03584e-05,9.2159e-06,1.54122,0.0130774,5.0152,80.8201,0.1,1,0.1,-15846.691717
194,0.70104,1.03584e-05,9.2159e-06,1.54122,0.0130774,5.0152,80.8201,0.1,1,0.1,-15846.691717
195,0.697458,1.03604e-05,9.21097e-06,1.56792,0.0130417,5.00679,81.1634,0.1,1,0.1,-15842.349524
196,0.692725,1.02825e-05,9.1213e-06,1.63803,0.0127558,4.99951,81.0884,0.1,1,0.1,-15720.353883
197,0.694784,1.04188e-05,9.14159e-06,1.65465,0.0128988,5.025,81.0505,0.1,1,0.1,-15700.031002
198,0.694784,1.04188e-05,9.14159e-06,1.65465,0.0128988,5.025,81.0505,0.1,1,0.1,-15700.031002
